pt_word,en_word,real
padrasto,stepfather,1
lembrança,memory,1
lareita,,0
urtiga,nettle,1
emerro,,0
hedionda,hideous,1
inalação,inhalation,1
jusante,downstream,1
comunhão,fellowship,1
curvere,,0
piejo,,0
careta,grimace,1
inferior,inferior,1
molecular,molecular,1
centiga,,0
propósito,purpose,1
espólio,spoils,1
sonila,,0
vinhala,,0
loucura,madness,1
grato,grateful,1
cadente,falling,1
avesso,averse,1
descarga,unloading,1
durarma,,0
retruque,replica,1
cicatriz,scar,1
golabo,,0
evidência,evidence,1
retórica,rhetoric,1
remoto,remote,1
âncorre,,0
farneiza,,0
infinito,infinite,1
clamode,,0
pífaro,flute,1
barrasa,,0
leopardo,leopard,1
tenro,tender,1
ferata,,0
fumbão,,0
pálido,pale,1
vagabundo,vagabond,1
relatório,report,1
parietal,parietal,1
imargue,,0
polegada,inch,1
vingança,revenge,1
cartino,,0
comércio,commerce,1
infantil,infant,1
nulapa,,0
rombura,,0
camada,layer,1
famude,,0
solução,solution,1
malandro,trickster,1
nupcial,nuptial,1
toarte,,0
canário,canary,1
invasão,invasion,1
ecinto,,0
lufase,,0
paisano,patrician,1
denário,denarius,1
falcão,hawk,1
maltono,,0
pueril,puerile,1
industo,,0
máquina,machine,1
paranoia,paranoid,1
música,music,1
exausto,exhausted,1
rebelde,rebellious,1
afessa,,0
cólera,cholera,1
abutre,vulture,1
adaga,dagger,1
veludo,velvet,1
noção,notion,1
efama,,0
mochila,backpack,1
fracora,,0
encalce,pursuit,1
marmita,packed lunch,1
engenhoso,ingenious,1
profecia,prophecy,1
batesta,,0
medato,,0
fatídica,ominous,1
